LNG Esports vs Ultra Prime
Game 1
Time,31:02
LNG Esports - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,KSante,5,0,8,Perfect KDA,252,8.1,18847.56,26701.8
JUNGLE,Lee Sin,3,1,11,14,183,5.9,14419.99,29000.9
MID,LeBlanc,6,1,9,15,254,8.2,31427.54,18491.2
ADC,Xayah,3,2,8,5.5,305,9.8,19569.91,13340.9
SUPPORT,Rakan,1,0,14,Perfect KDA,42,1.4,6028.72,12995.2
Ultra Prime - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Gragas,0,0,2,Perfect KDA,237,7.6,15650.46,28788.9
JUNGLE,Xin Zhao,1,7,2,0.4,154,5,15214.07,38727.5
MID,Lissandra,1,4,2,0.8,231,7.4,13668.11,22837.7
ADC,Aphelios,1,5,0,0.2,266,8.6,21642.82,16651.2
SUPPORT,Renata Glasc,1,2,2,1.5,40,1.3,5597.22,14326.3
Game 2
Time,33:09
LNG Esports - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Sion,0,7,8,1.1,222,6.7,16917.19,43150.1
JUNGLE,Lee Sin,2,4,7,2.3,179,5.4,9527.45,36672.3
MID,Annie,1,5,7,1.6,223,6.7,20979.6,20183.7
ADC,Aphelios,7,4,2,2.3,351,10.6,39111.95,14052.2
SUPPORT,Thresh,1,3,8,3,40,1.2,7168.74,16246.9
Ultra Prime - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Renekton,6,4,6,3,282,8.5,20610.74,32001.2
JUNGLE,Xin Zhao,5,2,11,8,207,6.2,19475.38,42741.9
MID,Ahri,5,2,12,8.5,235,7.1,25869.96,25219.9
ADC,Xayah,7,1,8,15,318,9.6,32292.88,15807
SUPPORT,Rakan,0,2,17,8.5,36,1.1,8106.95,18591.6
Game 3
Time,25:06
LNG Esports - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Jax,3,0,6,Perfect KDA,254,10.1,16868.34,18507.9
JUNGLE,Wukong,6,0,6,Perfect KDA,148,5.9,8306.51,18826.1
MID,Ahri,2,0,11,Perfect KDA,271,10.8,12389.57,6909.91
ADC,Xayah,2,1,5,7,237,9.4,9136.52,4828.62
SUPPORT,Nautilus,1,1,6,7,34,1.4,2983.39,6136.69
Ultra Prime - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Renekton,0,3,0,0,227,9,7126.96,20950.6
JUNGLE,Xin Zhao,1,3,0,0.3,165,6.6,4073.7,21608.2
MID,Lissandra,1,4,1,0.5,236,9.4,9453.11,16379.1
ADC,Kai,0,2,1,0.5,245,9.8,3249.83,7810.54
SUPPORT,Rakan,0,2,2,1,40,1.6,2450.53,7126.41

Team WE vs Weibo Gaming
Game 1
Time,33:58
Team WE - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,KSante,0,2,0,0,262,7.7,7637.69,25317
JUNGLE,Vi,2,4,2,1,161,4.7,5525.33,18805.6
MID,Syndra,2,2,3,2.5,289,8.5,19078.08,11069.5
